code_colour,item_status,odm_customer,item_name,item_location,receive_qty,stock_qty,release_date,item_aging,pack_unit,pack_size,item_group,item_category,odm_ppo,mfg_date,item_cargo,arrive_date,soldout_date,soldout_status
C24119628,FULL PRICE,,BOLTON DRESS,K23,27,5,2024-12-09 00:00:00+00,4TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-11-04 00:00:00+00,,
C24105626,FULL PRICE,,ARROYO DRESS,J24,29,7,2024-12-09 00:00:00+00,4TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-10-18 00:00:00+00,,
C24105652,FULL PRICE,,MENDEZ DRESS,I23,29,6.5,2024-12-09 00:00:00+00,4TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-10-18 00:00:00+00,,
C24411629,RETURN,,GINA DRESS (REPEAT),H33,28,13.5,2024-12-09 00:00:00+00,4TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-11 00:00:00+00,,
C24372459,OUT OF STOCK,,SCARLETT DRESS,F34,28,,2024-12-09 00:00:00+00,4TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-08-22 00:00:00+00,2024-12-13 00:00:00+00,NEW RELEASE
C24437740,FULL PRICE,,MAGNOLIA MIDI DRESS,F32,32,24,2024-12-09 00:00:00+00,4TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-19 00:00:00+00,,
C24140741,FULL PRICE,,MAGNOLIA DRESS,G12,32,20.5,2024-12-09 00:00:00+00,4TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-19 00:00:00+00,,
P24221753,FULL PRICE,,ASIYA MIDI DRESS,C32,22,11,2024-12-09 00:00:00+00,4TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-11-27 00:00:00+00,,
P24167677,FULL PRICE,,RIYA DRESS,C24,19,14,2024-12-09 00:00:00+00,4TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-11-20 00:00:00+00,,
P24191690,OUT OF STOCK,,LEMONCILLA DRESS,C23,22,,2024-12-09 00:00:00+00,4TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-11-20 00:00:00+00,2024-12-20 00:00:00+00,FULL PRICE
P24636754,FULL PRICE,,ASIYA SHORT DRESS,C14,35,18,2024-12-09 00:00:00+00,4TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-11-27 00:00:00+00,,
P24187688,FULL PRICE,,MELISA DRESS,C22,22,9,2024-12-09 00:00:00+00,4TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-11-27 00:00:00+00,,
P24186764 PINK,FULL PRICE,,FARLEY DRESS,A12,21,12,2024-12-09 00:00:00+00,4TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-11-20 00:00:00+00,,
P24186764 BLACK,FULL PRICE,,FARLEY DRESS,A11,22,9,2024-12-09 00:00:00+00,4TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-11-20 00:00:00+00,,
C24117750,FULL PRICE,,JUNGLE FRUIT MIDI DRESS,Q32,28,3,2024-12-02 00:00:00+00,5TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-20 00:00:00+00,,
C24157681,FULL PRICE,,VERDANT LEAF DRESS,Q23,24,8,2024-12-02 00:00:00+00,5TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-20 00:00:00+00,,
C24157780,FULL PRICE,,JUNGLE FRUIT DRESS,P14,24,9.5,2024-12-02 00:00:00+00,5TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-20 00:00:00+00,,
C24773748 GREEN,OUT OF STOCK,,MORRISON DRESS,K21,23,,2024-12-02 00:00:00+00,5TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-20 00:00:00+00,2024-12-06 00:00:00+00,NEW RELEASE
C24134749,FULL PRICE,,JUNGLE FRUIT SHIRRED DRESS,J32,24,12.5,2024-12-02 00:00:00+00,5TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-20 00:00:00+00,,
C24773748 BLUE,FULL PRICE,,MORRISON DRESS,J12,24,3,2024-12-02 00:00:00+00,5TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-20 00:00:00+00,,
C24110539 (LABEL-C24411746),RETURN,,ANEMONE DRESS,H34,30,19,2024-12-02 00:00:00+00,5TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-19 00:00:00+00,,
C24411647,OUT OF STOCK,,GRAVES DRESS,H11,49,,2024-12-02 00:00:00+00,5TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-27 00:00:00+00,2024-12-20 00:00:00+00,FULL PRICE
C24192676,OUT OF STOCK,,LAVINIA DRESS,G21,32,,2024-12-02 00:00:00+00,5TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-19 00:00:00+00,2024-12-13 00:00:00+00,FULL PRICE
C24158752,FULL PRICE,,ELLENA DRESS,G21,37,5,2024-12-02 00:00:00+00,5TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-19 00:00:00+00,,
C24773751,FULL PRICE,,ELLENA MIDI DRESS,F31,30,6.5,2024-12-02 00:00:00+00,5TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-19 00:00:00+00,,
P24191689,FULL PRICE,,LILY-MAY DRESS,C32,22,13,2024-12-02 00:00:00+00,5TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-11-20 00:00:00+00,,
P24718766,FULL PRICE,,AQUARIA DRESS,C21,17,9,2024-12-02 00:00:00+00,5TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-11-20 00:00:00+00,,
P24172743,OUT OF STOCK,,VIVA VACANZE MAXI DRESS,C14,14,,2024-12-02 00:00:00+00,5TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-11-20 00:00:00+00,2024-12-13 00:00:00+00,FULL PRICE
P24186765,FULL PRICE,,AQUARIA MAXI DRESS,C13,26,19,2024-12-02 00:00:00+00,5TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-11-20 00:00:00+00,,
P24302643 WHITE,FULL PRICE,,OTTILIE DRESS,A34,18,3,2024-12-02 00:00:00+00,5TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-10-11 00:00:00+00,,
P24302643 KHAKI,FULL PRICE,,OTTILIE DRESS,A34,18,4,2024-12-02 00:00:00+00,5TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-10-11 00:00:00+00,,
P24737644,FULL PRICE,,ADELIZA DRESS,A23,21,7,2024-12-02 00:00:00+00,5TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-10-11 00:00:00+00,,
P24170744,OUT OF STOCK,,VIVA VACANZE SHORT DRESS,A23,14,,2024-12-02 00:00:00+00,5TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-11-20 00:00:00+00,2024-12-13 00:00:00+00,FULL PRICE
C24095668 PINK,FULL PRICE,,KYRA PANTS,O11 BESIDE,25,21,2024-11-24 00:00:00+00,6TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,PANT,,,,2024-11-06 00:00:00+00,,
C24095668 KHAKI,FULL PRICE,,KYRA PANTS,O11 BESIDE,25,21,2024-11-24 00:00:00+00,6TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,PANT,,,,2024-11-06 00:00:00+00,,
C24143669 PINK,FULL PRICE,,KYRA SHIRT,L11 FRONT,25,20,2024-11-24 00:00:00+00,6TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,SHIRT,,,,2024-11-06 00:00:00+00,,
C24143669 KHAKI,FULL PRICE,,KYRA PANTS,L11 FRONT,25,22,2024-11-24 00:00:00+00,6TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,PANT,,,,2024-11-06 00:00:00+00,,
C24095672,FULL PRICE,,LENNY PANTS,J33,25,20,2024-11-24 00:00:00+00,6TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,PANT,,,,2024-11-06 00:00:00+00,,
C24411716,FULL PRICE,,CHANEY DRESS,I14 AND J11 FRONT,29,4.5,2024-11-24 00:00:00+00,6TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-06 00:00:00+00,,
C24105651,FULL PRICE,,BOND DRESS,I13,30,4,2024-11-24 00:00:00+00,6TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-10-18 00:00:00+00,,
C24168714,OUT OF STOCK,,CHANEY MIDI DRESS,H31,30,,2024-11-24 00:00:00+00,6TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-19 00:00:00+00,2024-12-19 00:00:00+00,FULL PRICE
C24812597 GREEN,FULL PRICE,,ALYSHA DRESS,H24,33,14.5,2024-11-24 00:00:00+00,6TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-29 00:00:00+00,,
C24812597 RED,FULL PRICE,,ALYSHA DRESS,H22,33,17,2024-11-24 00:00:00+00,6TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-29 00:00:00+00,,
C24117452 RED,FULL PRICE,,EMBER MIDI DRESS,F21,36,5.5,2024-11-24 00:00:00+00,6TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-08-26 00:00:00+00,,
C24143671,FULL PRICE,,LENNY SHIRT,F12,23,12,2024-11-24 00:00:00+00,6TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,SHIRT,,,,2024-11-19 00:00:00+00,,
C24117452 GREEN,FULL PRICE,,EMBER MIDI DRESS,F11,36,5.5,2024-11-24 00:00:00+00,6TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-08-26 00:00:00+00,,
C24105457,OUT OF STOCK,,REYES DRESS,,24,,2024-11-24 00:00:00+00,6TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-09-23 00:00:00+00,2024-11-28 00:00:00+00,NEW RELEASE
C24002599,OUT OF STOCK,,BOND DRESS,,35,,2024-11-22 00:00:00+00,6TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-10-18 00:00:00+00,2024-11-26 00:00:00+00,NEW RELEASE
C24199630 GREEN,OUT OF STOCK,,LIYANA DRESS,Q14 BESIDE,29,,2024-11-18 00:00:00+00,7TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-19 00:00:00+00,2024-12-20 00:00:00+00,FULL PRICE
C24199630 BLUE,FULL PRICE,,LIYANA DRESS,Q14 BESIDE,27,6.5,2024-11-18 00:00:00+00,7TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-19 00:00:00+00,,
C24199630 FUSCHIA,FULL PRICE,,LIYANA DRESS,Q14 BESIDE,29,10.5,2024-11-18 00:00:00+00,7TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-19 00:00:00+00,,
C24002721,FULL PRICE,,MARILYN DRESS,K34,29,15,2024-11-18 00:00:00+00,7TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-11-04 00:00:00+00,,
C24124653,OUT OF STOCK,,BARRY DRESS,K31,20,,2024-11-18 00:00:00+00,7TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-04 00:00:00+00,2024-12-13 00:00:00+00,FULL PRICE
C24208675,FULL PRICE,,WILD PETAL DRESS,J34,30,7,2024-11-18 00:00:00+00,7TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-04 00:00:00+00,,
C24110670,OUT OF STOCK,,SUSIE DRESS,J22,30,,2024-11-18 00:00:00+00,7TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-04 00:00:00+00,2024-12-13 00:00:00+00,FULL PRICE
C24105682 GREEN,OUT OF STOCK,,MARILYN MIDI DRESS,J22,21,,2024-11-18 00:00:00+00,7TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-11-04 00:00:00+00,2024-12-13 00:00:00+00,FULL PRICE
C24168674,FULL PRICE,,WILD PETAL MIDI DRESS,H11,35,17,2024-11-18 00:00:00+00,7TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-04 00:00:00+00,,
C24139646 GREEN,OUT OF STOCK,,NORMAN DRESS,G11 FRONT,32,,2024-11-18 00:00:00+00,7TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-04 00:00:00+00,2024-12-20 00:00:00+00,FULL PRICE
C24139646 BLUE,OUT OF STOCK,,NORMAN DRESS,F14 FRONT,33,,2024-11-18 00:00:00+00,7TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-04 00:00:00+00,2024-12-20 00:00:00+00,FULL PRICE
C24139658,OUT OF STOCK,,BARRERA MIDI DRESS,Q31,30,,2024-11-11 00:00:00+00,8TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-29 00:00:00+00,2024-12-20 00:00:00+00,FULL PRICE
C24124659,FULL PRICE,,BARRERA DRESS,P24,28,5.5,2024-11-11 00:00:00+00,8TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-29 00:00:00+00,,
C24105605 KHAKI,RETURN,,MATA DRESS - NEW COLOUR,N14 BESIDE,34,20,2024-11-11 00:00:00+00,8TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-10-29 00:00:00+00,,
C24105605 RED,RETURN,,MATA DRESS,N14 BESIDE,43,36,2024-11-11 00:00:00+00,8TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-11-19 00:00:00+00,,
C24168650,OUT OF STOCK,,CONNOR MIDI DRESS,J31,23,,2024-11-11 00:00:00+00,8TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-04 00:00:00+00,2024-12-06 00:00:00+00,FULL PRICE
C24105683 (OLD-C24105605 BLACK),RETURN,,MATA DRESS (REPEAT),J13,25,7,2024-11-11 00:00:00+00,8TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-11-04 00:00:00+00,,
C24095663,FULL PRICE,,ESHAL PANTS,G14,40,21.5,2024-11-11 00:00:00+00,8TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,PANT,,,,2024-11-06 00:00:00+00,,
C24158598,OUT OF STOCK,,PRIYA DRESS,G12,35,,2024-11-11 00:00:00+00,8TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-29 00:00:00+00,2024-12-20 00:00:00+00,FULL PRICE
C24143662,FULL PRICE,,ESHAL SHIRT,F24,40,24,2024-11-11 00:00:00+00,8TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-11-06 00:00:00+00,,
C24124661,OUT OF STOCK,,ESHAL DRESS,F11 FRONT,30,,2024-11-11 00:00:00+00,8TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-06 00:00:00+00,2024-12-13 00:00:00+00,FULL PRICE
C24105605 GREEN,SHIPPING,,MATA DRESS (REPEAT) 13 DEC AIR,,,,2024-11-11 00:00:00+00,8TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-12-20 00:00:00+00,,
C089149 RED,RESTOCK,,DRAPE TOP,,100,50,2024-12-30 00:00:00+00,1ST WEEK,5,"{""ONE SIZE"":5}",BOHO,TOP,,2024-12-20 00:00:00+00,AIR,2024-12-30 00:00:00+00,,
C24411649,OUT OF STOCK,,CONNOR DRESS,,23,,2024-11-08 00:00:00+00,8TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-29 00:00:00+00,2024-11-26 00:00:00+00,FULL PRICE
C24124656,FULL PRICE,,SAMIA TOP,S34,55,27,2024-11-04 00:00:00+00,9TH WEEK,4,"{""ONE SIZE"":4}",BOHO,TOP,,,,2024-10-29 00:00:00+00,,
C24140521,OUT OF STOCK,,ALISH DRESS,Q34,28,,2024-11-04 00:00:00+00,9TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-08-21 00:00:00+00,2024-12-20 00:00:00+00,ON SALE
C24175664,OUT OF STOCK,,"ISHA MIDI DRESS
",P14,30,,2024-11-04 00:00:00+00,9TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-29 00:00:00+00,2024-12-20 00:00:00+00,ON SALE
C24304657,FULL PRICE,,SAMIA PANTS,O23,27,13.5,2024-11-04 00:00:00+00,9TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,PANT,,,,2024-10-29 00:00:00+00,,
C24002655,OUT OF STOCK,,SAMIA DRESS,K12,38,,2024-11-04 00:00:00+00,9TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-10-18 00:00:00+00,2024-12-20 00:00:00+00,ON SALE
C24185678,ON SALE,,JENNY DRESS,I34,34,15,2024-11-04 00:00:00+00,9TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-11-05 00:00:00+00,,
C24183623 KHAKI,FULL PRICE,,GAIL DRESS,G34,23,7,2024-11-04 00:00:00+00,9TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-18 00:00:00+00,,
C24183623 PINK,FULL PRICE,,GAIL DRESS,G31,23,6,2024-11-04 00:00:00+00,9TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-18 00:00:00+00,,
C24124665,FULL PRICE,,ISHA DRESS,G22,22,11,2024-11-04 00:00:00+00,9TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-29 00:00:00+00,,
C24411679,OUT OF STOCK,,JENNY BABY DRESS,G12,26,,2024-11-04 00:00:00+00,9TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-29 00:00:00+00,2024-12-13 00:00:00+00,FULL PRICE
C24105627,OUT OF STOCK,,CONLEY DRESS,,25,,2024-11-01 00:00:00+00,9TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-10-11 00:00:00+00,2024-11-26 00:00:00+00,FULL PRICE
C24185634,ON SALE,,AMANDA DRESS,Q21,26,16.5,2024-10-28 00:00:00+00,10TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-11 00:00:00+00,,
C24372436,OUT OF STOCK,,CHERRY MIDI DRESS,O22,35,,2024-10-28 00:00:00+00,10TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-08-26 00:00:00+00,2024-12-06 00:00:00+00,FULL PRICE
C24183667,OUT OF STOCK,,DOLCE SHIRT DRESS,O11,32,,2024-10-28 00:00:00+00,10TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-29 00:00:00+00,2024-12-13 00:00:00+00,ON SALE
C24105605 BLUE,FULL PRICE,,MATA DRESS,N14 FRONT,34,28,2024-10-28 00:00:00+00,10TH WEEK,6,"{""S/M"":2,""M/L"":2,""L/XL"":2}",BOHO,DRESS,,,,2024-10-29 00:00:00+00,,
C24200511,OUT OF STOCK,,LENNON STRAP DRESS,L32,32,,2024-10-28 00:00:00+00,10TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-29 00:00:00+00,2024-12-13 00:00:00+00,ON SALE
C24130666,OUT OF STOCK,,DOLCE DRESS,J14,38,,2024-10-28 00:00:00+00,10TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-18 00:00:00+00,2024-12-20 00:00:00+00,ON SALE
C24202648,OUT OF STOCK,,GRAVES MIDI DRESS,,29,,2024-10-25 00:00:00+00,10TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-29 00:00:00+00,2024-11-05 00:00:00+00,FULL PRICE
C24700550,OUT OF STOCK,,SAOIRSE MIDI DRESS,,30,,2024-10-25 00:00:00+00,10TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-09-09 00:00:00+00,2024-11-19 00:00:00+00,FULL PRICE
C24411620,OUT OF STOCK,,DOTTY TIER DRESS,,21,,2024-10-25 00:00:00+00,10TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-04 00:00:00+00,2024-11-19 00:00:00+00,FULL PRICE
C24154618,OUT OF STOCK,,DOTTY MIDI DRESS,,22,,2024-10-25 00:00:00+00,10TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-04 00:00:00+00,2024-11-19 00:00:00+00,FULL PRICE
C24134619,OUT OF STOCK,,DOTTY DRESS,,22,,2024-10-25 00:00:00+00,10TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-04 00:00:00+00,2024-11-19 00:00:00+00,FULL PRICE
C24136517,ON SALE,,LINDA STRAP DRESS,G24,30,11,2024-10-21 00:00:00+00,11TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-04 00:00:00+00,,
P24302621,OUT OF STOCK,,ROSY RIBBONS STRAP DRESS,A34,20,,2024-10-21 00:00:00+00,11TH WEEK,7,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-04 00:00:00+00,2024-12-20 00:00:00+00,ON SALE
P24203622,ON SALE,,ROSY RIBBONS DRESS,A13,26,9,2024-10-21 00:00:00+00,11TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-10-11 00:00:00+00,,
C24411551,OUT OF STOCK,,SAOIRSE DRESS,,31,,2024-10-18 00:00:00+00,11TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-09-09 00:00:00+00,2024-10-22 00:00:00+00,NEW RELEASE
P24737624,OUT OF STOCK,,NIA MIDI DRESS,,15,,2024-10-18 00:00:00+00,11TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-10-04 00:00:00+00,2024-11-12 00:00:00+00,FULL PRICE
P24737608,OUT OF STOCK,,CAIDEN MIDI DRESS,,14,,2024-10-18 00:00:00+00,11TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-09-27 00:00:00+00,2024-11-12 00:00:00+00,FULL PRICE
P24198625,OUT OF STOCK,,NIA DRESS,,26,,2024-10-18 00:00:00+00,11TH WEEK,7,"{ ""8"": 1, ""10"": 2, ""12"": 2, ""14"": 1, ""16"": 1 }",PRIMROSE,DRESS,,,,2024-10-11 00:00:00+00,2024-11-12 00:00:00+00,FULL PRICE
C24117567,OUT OF STOCK,,RICHIE MIDI DRESS,,30,,2024-10-18 00:00:00+00,11TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-09-18 00:00:00+00,2024-11-19 00:00:00+00,FULL PRICE
C24175570,OUT OF STOCK,,MILLIE MIDI DRESS,P33,32,,2024-10-14 00:00:00+00,12TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-09-27 00:00:00+00,2024-12-06 00:00:00+00,ON SALE
C24176635,ON SALE,,CASEY STRAP DRESS,P21,24,16,2024-10-14 00:00:00+00,12TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-10-11 00:00:00+00,,
C24166606,FULL PRICE,,ELA MIDI DRESS,L31,18,4,2024-10-14 00:00:00+00,12TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-09-18 00:00:00+00,,
C24140607,FULL PRICE,,ELA DRESS,I14,28,3,2024-10-14 00:00:00+00,12TH WEEK,8,"{""S"":2,""M"":2,""L"":2,""XL"":2}",BOHO,DRESS,,,,2024-09-27 00:00:00+00,,
