code_colour,item_status,odm_customer,item_name,item_location,receive_qty,stock_qty,release_date,item_aging,pack_unit,pack_size,item_group,item_category,odm_ppo,mfg_date,item_cargo,arrive_date,soldout_date,soldout_status
C24739078.NBO 24 SEP,DISPATCHED,VINE APPAREL,,,,,,,1,,ODM,DRESS,,2024-09-24 00:00:00+00,AIR,2024-09-29 00:00:00+00,,
TZ24239693,NOT RELEASE,THINGZ,,,76,,,,1,,ODM,DRESS,PO1824,2024-11-29 00:00:00+00,AIR,2024-12-05 00:00:00+00,,
TZ24313706,DISPATCHED,THINGZ,,,70,,,,1,,ODM,DRESS,PO1824,2024-11-29 00:00:00+00,AIR,2024-12-05 00:00:00+00,,
TZ24239695,DISPATCHED,THINGZ,,,72,,,,1,,ODM,DRESS,PO1824,2024-11-29 00:00:00+00,AIR,2024-12-05 00:00:00+00,,
TZ24239694,DISPATCHED,THINGZ,,,64,,,,1,,ODM,DRESS,PO1824,2024-11-29 00:00:00+00,AIR,2024-12-05 00:00:00+00,,
OS24411783,ON HOLD,ORANGE SHEBERT,,,265,,,,1,,ODM,DRESS,PO1844,2024-11-29 00:00:00+00,AIR,2024-11-06 00:00:00+00,,
OS24277782 RED/PINK,NOT RELEASE,ORANGE SHEBERT,,,272,,,,1,,ODM,DRESS,PO1844,2024-11-22 00:00:00+00,AIR,2024-11-27 00:00:00+00,,
VA24124803 RED,SHIPPING,VINE APPAREL,,,204,,,,1,,ODM,TOP,PO1864,2024-12-11 00:00:00+00,SEA,,,
VA24124349 SANDSTONE,SHIPPING,VINE APPAREL,,,310,,,,1,,ODM,TOP,PO1842,2024-12-11 00:00:00+00,SEA,,,
SS24411729 BLUE CHECK,SHIPPING,SHE STREET,,,122,,,,1,,ODM,DRESS,PO1825,2024-12-11 00:00:00+00,SEA,,,
SS24155732 BLUE CHECK,SHIPPING,SHE STREET,,,123,,,,1,,ODM,PANT,PO1825,2024-12-11 00:00:00+00,SEA,,,
SS24124731 BLUE,SHIPPING,SHE STREET,,,164,,,,1,,ODM,TOP,PO1825,2024-12-11 00:00:00+00,SEA,,,
SS24105730 BLUE CHECK,SHIPPING,SHE STREET,,,172,,,,1,,ODM,DRESS,PO1825,2024-12-11 00:00:00+00,SEA,,,
SC24105771 BLACK,DISPATCHED,SALTY CRUSH,,,221,,,,1,,ODM,DRESS,PO1840,2024-12-13 00:00:00+00,AIR,2024-12-20 00:00:00+00,,
SC24002501 BROWN/WHITE,SHIPPING,SALTY CRUSH,,,201,,,,1,,ODM,DRESS,PO1850,2024-12-13 00:00:00+00,AIR,2024-12-20 00:00:00+00,,
OS24798785 BLUE,ON HOLD,ORANGE SHEBERT,,,201,,,,1,,ODM,DRESS,PO1845,2024-12-13 00:00:00+00,AIR,2024-12-20 00:00:00+00,,
OS24185784 BLUE,ON HOLD,ORANGE SHEBERT,,,203,,,,1,,ODM,DRESS,PO1845,2024-12-13 00:00:00+00,AIR,2024-12-20 00:00:00+00,,
EC24813737 EC24813737,SHIPPING,EVERGREEN,,,100,,,,1,,ODM,SHIRT,PO1832,2024-12-11 00:00:00+00,SEA,,,
